origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PH_074,walking,Kindergarten,10,0.23398921229270261,1291,Wong Tai Sin,PH,16794,1291,15000,22.34055139,114.1875811
PH_075,walking,Kindergarten,10,0.2632692464416681,325,Sham Shui Po,PH,3620,325,15000,22.32924887,114.15555
PH_076,walking,Kindergarten,10,1.1375105407147772,239,Kwun Tong,PH,4280,239,13320,22.31595699,114.2277603
PH_077,walking,Kindergarten,10,0.20412428166099325,2043,Kwun Tong,PH,21799,2043,15000,22.30061825,114.2360143
PH_078,walking,Kindergarten,10,0.20394089172128768,843,Kwun Tong,PH,10026,843,15000,22.29788419,114.2382112
C_014,walking,Kindergarten,10,0.024740491221700706,586,Wong Tai Sin,C,5698,586,20000,22.34042546,114.2111569
C_015,walking,Kindergarten,10,0.20254270917342704,392,Kwun Tong,C,4432,392,17100,22.29842937,114.2421808
C_016,walking,Kindergarten,10,0.19202782477269506,618,Kwun Tong,C,4909,618,20000,22.30891462,114.2324259
C_010,walking,Kindergarten,10,0.6373711813856041,550,Kwun Tong,C,6353,550,20000,22.30256192,114.2392893
C_011,walking,Kindergarten,10,0,442,Kwun Tong,C,3904,442,20000,22.31401752,114.2400131
