origin_id,mode,facility_type,Tr,AF_k,P_i
PV_006,walking,Hos,15,4.1116300527429654,5035.0
PV_007,walking,Hos,15,0.304328060298796,5276.0
PV_008,walking,Hos,15,2.19472469553173,4964.0
PV_009,walking,Hos,15,1.600684199600239,4400.0
PV_010,walking,Hos,15,1.1684395609478373,3329.0
PV_011,walking,Hos,15,0.5080642704288524,6704.0
PV_012,walking,Hos,15,3.054591139069524,3249.0
PV_013,walking,Hos,15,0.0,6236.0
PV_014,walking,Hos,15,1.054166858006989,6634.0
PV_015,walking,Hos,15,2.3652217234118513,3928.0
PV_016,walking,Hos,15,4.185965047467267,11801.0
PV_017,walking,Hos,15,0.0,22319.0
PV_018,walking,Hos,15,0.4387327920562464,12664.0
PV_019,walking,Hos,15,0.2305356950483666,6009.0
PV_020,walking,Hos,15,2.7426019562328916,8696.0
PV_021,walking,Hos,15,0.0,3140.0
PV_022,walking,Hos,15,13.298565781076809,3189.0
PV_023,walking,Hos,15,0.0,37299.0
PV_024,walking,Hos,15,3.0141195367119,3421.0
PV_025,walking,Hos,15,2.9243920699633943,7887.0
PV_026,walking,Hos,15,2.617920188813122,2781.0
PV_027,walking,Hos,15,0.3767100682183941,2777.0
PV_028,walking,Hos,15,0.3629841198821072,5005.0
PV_029,walking,Hos,15,0.0,4651.0
PV_030,walking,Hos,15,39.060379053834346,4090.0
PV_031,walking,Hos,15,0.5159615556390765,4396.0
PV_032,walking,Hos,15,0.0,9645.0
PV_033,walking,Hos,15,1.6473744815939995,12357.0
PV_034,walking,Hos,15,2.1226796908893597,5678.0
PV_035,walking,Hos,15,0.0,5802.0
PV_036,walking,Hos,15,1.2892603794337476,2567.0
PV_037,walking,Hos,15,0.0,3476.0
PV_038,walking,Hos,15,0.11801069425625767,13142.0
PV_039,walking,Hos,15,3.6278393661841166,3264.0
PV_040,walking,Hos,15,0.0,4472.0
PV_041,walking,Hos,15,0.621009304464097,5604.0
PV_042,walking,Hos,15,0.0,4002.0
PV_043,walking,Hos,15,0.8913773235402347,6647.0
PV_044,walking,Hos,15,0.6682367793638487,30038.0
PV_045,walking,Hos,15,2.2808749576722946,6746.0
PH_001,walking,Kin,5,0.0,3913.0
PH_002,walking,Kin,5,0.0029268188884305764,3209.0
PH_003,walking,Kin,5,0.0,3923.0
PH_004,walking,Kin,5,0.0005363658768983778,10775.0
PH_005,walking,Kin,5,0.02936305357849385,5453.0
PH_006,walking,Kin,5,0.006847392939327609,17817.0
PH_007,walking,Kin,5,0.007247732625869138,13588.0
PH_008,walking,Kin,5,0.019992838386249698,16756.0
PH_009,walking,Kin,5,0.0,8485.0
PH_010,walking,Kin,5,0.010371191966615095,9682.0
PH_011,walking,Kin,5,0.01373445681011247,16989.0
PH_012,walking,Kin,5,0.05226298356629459,14147.0
PH_013,walking,Kin,5,0.008627670852104242,4587.0
PH_014,walking,Kin,5,0.011216924930652468,15655.0
PH_015,walking,Kin,5,0.013507642605612005,5572.0
PH_016,walking,Kin,5,0.04264064216000636,12066.0
PH_017,walking,Kin,5,0.0,6467.0
