ID,facility_type,facility_name,facility_sc,map_latitude,map_longitude,Total_supply,,,,
K_065,Kindergarten,PO LEUNG KUK MRS FONG WONG KAM CHUEN KINDERGARTEN,,22.2986348,114.2416909,117,,,,
K_066,Kindergarten,TUNG WAH GROUP OF HOSPITALS WONG SEE SUM KINDERGARTEN,,22.31229302,114.2309533,142,,,,
K_067,Kindergarten,CNEC CHRISTIAN KINDERGARTEN,,22.32185639,114.2310249,109,,,,
K_068,Kindergarten,CHRISTIAN ALLIANCE SAU MAU PING CHEN LEE WING TSING KINDERGARTEN,,22.32195647,114.2287731,116,,,,
K_069,Kindergarten,THE SALVATION ARMY PING TIN KINDERGARTEN,,22.30559924,114.236929,243,,,,
K_070,Kindergarten,CHAN MUNG YAN LUTHERAN KINDERGARTEN,,22.32022226,114.2298013,270,,,,
K_071,Kindergarten,LAM TIN LING LIANG KINDERGARTEN,,22.30515123,114.2265251,493,,,,
K_072,Kindergarten,YUEN YUEN KINDERGARTEN (PING TIN ESTATE),,22.30733338,114.2362018,148,,,,
K_073,Kindergarten,ST. ANTONIUS KINDERGARTEN,,22.30132776,114.2369174,270,,,,
K_074,Kindergarten,SHUN TAK FRATERNAL ASSOCIATION LEUNG KIT WAH KINDERGARTEN,,22.31727535,114.2381472,177,,,,
