ID,school_no,location_no,school_name,district,joining_kg_edu_scheme,received_grant_for_support_to_ncs_students,address,school_category,student_category,tel,fax,school_website,total_no_of_permitted_accommodationof_classrooms_in_use,TotalEnrollment2023,no_for_enrolment_aged_2_to_3,map_latitude,map_longitude
K_052,323497,1,BUDDHIST KAM LAI KINDERGARTEN,Kwun Tong,Joining,N,"G/F, BLOCK 9, 10 HONG NGA COURT, LAM TIN ESTATE, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2346 5162,2340 9029,http://www.buddhist-kam-lai-kg.edu.hk,480,480,0,22.30564398,114.238016
K_053,324248,1,KWUN TONG BAPTIST CHURCH KINDERGARTEN,Kwun Tong,Joining,Y,"G/F (PART), 4/F TO 5/F, 83 KUNG LOK ROAD, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2342 4008,2790 3178,http://www.ktbckg.edu.hk,555,352,0,22.31862607,114.2224727
K_054,324426,1,SHIN YAT TONG ON YAT KINDERGARTEN,Kwun Tong,Joining,Y,"G/F - 1/F, ON YAT HOUSE, SHUN ON ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2345 1222,2344 6013,http://www.syt.edu.hk,201,130,0,22.32726728,114.2261155
K_055,324736,1,TELFORD GARDENS KINDERGARTEN (LOCAL STREAM),Kwun Tong,Joining,Y,"NORTH WING OF LEVEL 2 & 4, TELFORD GARDENS, KOWLOON BAY, KOWLOON",Non-profit-making,Co-educational,2757 5749,2305 2242,http://www.telfordeducation.com,149,94,0,22.32341473,114.2127584
K_056,324809,1,THE CHURCH OF CHRIST IN CHINA KEI WA KINDERGARTEN,Kwun Tong,Joining,Y,"UNIT G1-G14, G/F, KAI NING HOUSE, KAI YIP ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2756 0781,2758 5580,http://kwk.ccc.edu.hk,170,151,0,22.32984513,114.2098286
K_057,325236,1,SHARON LUTHERAN CHURCH KINDERGARTEN,Kwun Tong,Joining,N,"UNIT 405-415, 4/F, KAN WAH HOUSE, LOK WAH NORTH ESTATE, NGAU TAU KOK, KOWLOON",Non-profit-making,Co-educational,2756 3398,2798 7604,http://www.sharonlutheran.edu.hk,150,113,0,22.32174221,114.2203578
K_058,325244,1,CHRISTIAN LITTLE ANGEL KINDERGARTEN RICHLAND GARDENS,Kwun Tong,Joining,Y,"UNIT 2C, G/F, BLOCKS 21-22, RICHLAND GARDENS, 80 WANG KWONG ROAD, KOWLOON BAY, KOWLOON",Non-profit-making,Co-educational,2755 0198,2795 8343,http://www.clakrg.edu.hk,264,192,39,22.32909602,114.2076347
K_059,325694,1,CHOI HA ESTATE KIT SAM KINDERGARTEN,Kwun Tong,Joining,Y,"NO.4 CARPARK PODIUM, CHOI HA ESTATE, NGAU TAU KOK, KOWLOON",Non-profit-making,Co-educational,2305 1443,2758 4101,http://www.sihm.edu.hk/,232,228,0,22.32546362,114.2172335
K_060,325708,1,ST. JAMES CATHOLIC KINDERGARTEN,Kwun Tong,Joining,Y,"8 KA WING STREET, YAU TONG, KOWLOON",Non-profit-making,Co-educational,2348 9344,2340 4585,http://www.sjck.edu.hk,126,109,0,22.29415693,114.2383021
K_061,325732,1,ST. PHILIP LUTHERAN CHURCH KINDERGARTEN,Kwun Tong,Joining,Y,"TSUI ON HOUSE, TSUI PING ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2793 0577,2763 7975,http://www.splck.edu.hk,127,88,0,22.31496672,114.2289841
K_062,325791,1,HONG YING ANGLO-CHINESE KINDERGARTEN,Kwun Tong,Joining,N,"G/F, HONG YING COURT, TAK TIN ESTATE, KOWLOON",Non-profit-making,Co-educational,2772 3243,2775 1476,http://hongyingkinder.edu.hk/,130,97,14,22.30817245,114.2382888
K_063,325864,1,CREATIVE KINDERGARTEN (SCENEWAY GARDEN),Kwun Tong,Joining,Y,"BLOCK 45, 35 SCENEWAY GARDENS, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2717 8686,2717 6868,http://www.creative.edu.hk,360,316,0,22.3069826,114.2321935
K_064,325937,1,S.K.H. KINDLY LIGHT CHURCH HOLY CARPENTER KINDERGARTEN,Kwun Tong,Joining,Y,"LEVEL 7, CARPARK BUILDING, HONG PAK COURT, LAM TIN, KOWLOON",Non-profit-making,Co-educational,"2347 7988, 2347 7262",2347 7908,http://www.skhklchc.edu.hk,127,115,55,22.30252802,114.2390627
K_065,516309,1,PO LEUNG KUK MRS FONG WONG KAM CHUEN KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, BLOCK C, KO CHUN COURT, KO CHIU ROAD, YAU TONG, KOWLOON",Non-profit-making,Co-educational,2349 3606,2349 3771,https://www.plkkgs.edu.hk/plkfwkckg/,117,85,0,22.2986348,114.2416909
K_066,517127,1,TUNG WAH GROUP OF HOSPITALS WONG SEE SUM KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, WING A & B, TSUI LOK HOUSE, TSUI PING ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2348 0285,2346 7977,http://www.twghwsskg.edu.hk,142,117,0,22.31229302,114.2309533
K_067,522910,1,CNEC CHRISTIAN KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, SAU HONG HOUSE, SAU MAU PING (III) ESTATE, KOWLOON",Non-profit-making,Co-educational,2340 6063,2340 6043,http://www.cnecckg.edu.hk,109,85,0,22.32185639,114.2310249
K_068,523178,1,CHRISTIAN ALLIANCE SAU MAU PING CHEN LEE WING TSING KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, BLOCK A (HIU TIN HOUSE), HIU LAI COURT, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2952 4488,2952 3922,http://www.caclwtkg.edu.hk,116,89,24,22.32195647,114.2287731
K_069,523364,1,THE SALVATION ARMY PING TIN KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, PING SHING HOUSE, PING TIN ESTATE, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2775 5332,2775 5412,http://www.salvationarmy.org.hk/esd/ptkg/,243,146,26,22.30559924,114.236929
K_070,523895,1,CHAN MUNG YAN LUTHERAN KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, HIU ON HOUSE, (BLOCK E) HIU LAI COURT, SAU MAU PING, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2340 2839,2340 2098,http://www.cmyl.edu.hk/,270,233,0,22.32022226,114.2298013
K_071,524034,2,LAM TIN LING LIANG KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, SITE A,12 LAGUNA STREET, LAGUNA CITY, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2805 6699,2772 0868,http://www.lingliang.org.hk,493,439,86,22.30515123,114.2265251
K_072,528366,1,YUEN YUEN KINDERGARTEN (PING TIN ESTATE),Kwun Tong,Joining,Y,"G/F, PING SIN HOUSE, PING TIN ESTATE, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2243 7116,2177 6722,https://www.yuenyuenkg.edu.hk/pingtin,148,140,4,22.30733338,114.2362018
K_073,532169,1,ST. ANTONIUS KINDERGARTEN,Kwun Tong,Joining,N,"1/F, 1 YAU TONG ROAD, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2349 0221,2349 0201,http://www.stakg.edu.hk,270,180,0,22.30132776,114.2369174
K_074,543390,1,SHUN TAK FRATERNAL ASSOCIATION LEUNG KIT WAH KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, TAT FUNG HOUSE, PO TAT ESTATE, PO LAM ROAD, SAU MAU PING, KOWLOON",Non-profit-making,Co-educational,2997 4411,2997 4422,http://www.stfalkwkg.edu.hk,177,177,0,22.31727535,114.2381472
K_075,546038,1,LOK SIN TONG MAN NG WING YEE KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, SAU WAH HOUSE, SAU MAU PING ESTATE, KOWLOON",Non-profit-making,Co-educational,2354 8809,2354 8308,http://www.loksintongkg.edu.hk/lst_manngwingyee/,213,133,0,22.31830693,114.2323241
K_076,548278,2,LEI YUE MUN METHODIST KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, LEI HING HOUSE, LEI YUE MUN ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,3417 7010,3417 7013,http://www.lymmkg.edu.hk,236,129,0,22.29424664,114.2398742
K_077,550663,1,PEACE EVANGELICAL CENTRE KINDERGARTEN (NGAU TAU KOK),Kwun Tong,Joining,Y,"G/F, SHEUNG MUN HOUSE, UPPER NGAU TAU KOK ESTATE, PHASE I, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2776 9285,2776 8913,http://www.peck.edu.hk/ngautaukok/,165,147,0,22.31918729,114.2175035
K_078,550892,1,JING JING KINDERGARTEN (SHUN LEE BRANCH),Kwun Tong,Joining,Y,"SHOP 15A, PODIUM LEVEL 2, SHUN LEE DISCIPLINED SERVICES QUARTERS 32 LEE ON ROAD, KOWLOON",Non-profit-making,Co-educational,3409 4481,3409 4491,http://www.jingjing.edu.hk,174,65,33,22.3324701,114.2219822
K_079,563455,1,BGCAHK CHEERLAND KINDERGARTEN (KOWLOON BAY),Kwun Tong,Joining,N,"SHOP 11-13, G/F CHEVALIER COMMERCIAL CENTRE, 8 WANG HOI ROAD, KOWLOON BAY, KOWLOON",Non-profit-making,Co-educational,2796 2122,2755 1355,http://nursery.bgca.org.hk,91,73,26,22.34306848,114.1926007
K_080,563510,1,ST VINCENT DE PAUL NURSERY SCHOOL,Kwun Tong,Joining,N,"2/F, BO FUNG BUILDING, 5 HORSE SHOE LANE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2389 3228,2389 7610,http://www.svpdn.edu.hk,87,53,15,22.31477913,114.2221609
K_081,563536,1,TWGHS CHAN HAN NURSERY SCHOOL,Kwun Tong,Joining,Y,"ROOM 2, G/F, SAU FU HOUSE, SAU MAU PING (I) ESTATE, SAU MAU PING, KOWLOON",Non-profit-making,Co-educational,2340 5982,2772 3599,http://chns.tungwahcsd.org,83,65,14,22.31675369,114.232275
