origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PH_035,walking,Public Open Space,10,0,9662,Kwun Tong,PH,9662,775,15000,22.29385108,114.2402382
PH_036,walking,Public Open Space,10,0,9944,Wong Tai Sin,PH,9944,512,14000,22.33748532,114.187319
PH_037,walking,Public Open Space,10,0,8499,Kwun Tong,PH,8499,543,15000,22.32142482,114.2200767
PH_038,walking,Public Open Space,10,0,13258,Kwun Tong,PH,13258,729,14500,22.32052259,114.2205098
PH_039,walking,Public Open Space,10,6.356027178251403e-06,11426,Kwun Tong,PH,11426,1388,14000,22.32165352,114.2154421
PH_040,walking,Public Open Space,10,0,11295,Wong Tai Sin,PH,11295,580,15500,22.33904376,114.1948243
PH_041,walking,Public Open Space,10,0,18247,Wong Tai Sin,PH,18247,1463,15000,22.34017739,114.1926891
PH_042,walking,Public Open Space,10,2.063597791033209e-06,4942,Kowloon City,PH,4942,511,13000,22.32329866,114.1869599
PH_043,walking,Public Open Space,10,3.981804438170605e-05,4411,Wong Tai Sin,PH,4411,500,14850,22.33325498,114.1890826
PH_044,walking,Public Open Space,10,1.6544310699765167e-05,4684,Sham Shui Po,PH,4684,331,15000,22.32610707,114.1577264
PH_045,walking,Public Open Space,10,0,6208,Sham Shui Po,PH,6208,524,15500,22.33417458,114.17115
PH_046,walking,Public Open Space,10,0,17407,Kowloon City,PH,17407,1364,15000,22.31229006,114.1785491
PH_047,walking,Public Open Space,10,0,24618,Kwun Tong,PH,24618,4905,15000,22.3272648,114.2291594
PH_048,walking,Public Open Space,10,3.4153084221335775e-06,23341,Kwun Tong,PH,23341,3525,14500,22.32076943,114.2350825
PH_049,walking,Public Open Space,10,0,16843,Sham Shui Po,PH,16843,1326,15000,22.33692876,114.1670269
PH_050,walking,Public Open Space,10,0,11985,Kwun Tong,PH,11985,756,15000,22.33303823,114.2091046
PH_051,walking,Public Open Space,10,0,14753,Kwun Tong,PH,14753,1234,15000,22.30685942,114.2366629
PH_052,walking,Public Open Space,10,0,22319,Kwun Tong,PH,22319,2038,15000,22.31719641,114.237906
PH_053,walking,Public Open Space,10,0,35277,Kwun Tong,PH,35277,3354,15000,22.31930218,114.2320151
PH_054,walking,Public Open Space,10,0,3063,Wong Tai Sin,PH,3063,327,14000,22.34983826,114.1951275
PH_055,walking,Public Open Space,10,0,25561,Sham Shui Po,PH,25561,2832,14500,22.33303267,114.1663168
PH_056,walking,Public Open Space,10,0,11404,Kwun Tong,PH,11404,1005,14000,22.331874,114.2251915
PH_057,walking,Public Open Space,10,0,6991,Kwun Tong,PH,6991,401,14000,22.32833266,114.2260561
PH_058,walking,Public Open Space,10,0,17926,Kwun Tong,PH,17926,1388,15000,22.32555627,114.226441
PH_059,walking,Public Open Space,10,1.2044812338193855e-07,18748,Sham Shui Po,PH,18748,3463,13200,22.34122473,114.1567751
PH_060,walking,Public Open Space,10,0,4696,Sham Shui Po,PH,4696,367,15000,22.33173591,114.171393
PH_061,walking,Public Open Space,10,4.64698096283049e-06,18720,Kowloon City,PH,18720,2680,14000,22.32997424,114.2035147
PH_062,walking,Public Open Space,10,0,13612,Kwun Tong,PH,13612,1097,15000,22.30845044,114.2390538
PH_063,walking,Public Open Space,10,0,14060,Kwun Tong,PH,14060,866,15000,22.31532448,114.2297232
PH_064,walking,Public Open Space,10,0,13467,Kwun Tong,PH,13467,1382,15000,22.312701,114.2326786
PH_065,walking,Public Open Space,10,0,21845,Wong Tai Sin,PH,21845,1671,15000,22.35015662,114.2025883
PH_066,walking,Public Open Space,10,4.449206214498217e-06,7079,Wong Tai Sin,PH,7079,598,15000,22.34757921,114.2028018
PH_067,walking,Public Open Space,10,1.3982524824459947e-05,17833,Wong Tai Sin,PH,17833,1485,15000,22.34818565,114.1987453
PH_068,walking,Public Open Space,10,0,5936,Wong Tai Sin,PH,5936,547,13960,22.34822658,114.2030322
PH_069,walking,Public Open Space,10,1.2991920772385966e-08,15440,Wong Tai Sin,PH,15440,976,15000,22.33440615,114.1925245
PH_070,walking,Public Open Space,10,3.002386152250484e-07,5280,Wong Tai Sin,PH,5280,674,14430,22.332214,114.1933855
